PicHandlingTime	PicGrabTime	Rearrangement-Calc-Time	Movement-Calc-Time	Finishing-Calc-Time	ResetPositionTime	StreamTime	TriggerTime
1.4122e-05	8.3827e-05	2.9745e-05	0.000240366	0.00145001	2.9745e-05	0.0149084	3.3051e-05
1.4122e-05	5.318e-05	1.8929e-05	0.000112371	0.00182438	3.9961e-05	0.0156082	4.9876e-05
1.4121e-05	4.7172e-05	2.0131e-05	7.7218e-05	0.0019031	2.8844e-05	0.0165474	3.0346e-05
1.4723e-05	5.7086e-05	3.5754e-05	0.000158642	0.0018412	3.275e-05	0.0155616	3.5754e-05
1.5023e-05	0.000216329	1.953e-05	6.7302e-05	0.0016411	3.9661e-05	0.0155691	3.7256e-05
1.3821e-05	5.8589e-05	1.4422e-05	9.0738e-05	0.00149658	2.9445e-05	0.0147705	3.245e-05
1.5624e-05	4.4468e-05	2.2534e-05	0.000184781	0.00253165	3.1247e-05	0.015801	4.8975e-05
1.4121e-05	8.4429e-05	1.6525e-05	0.00022294	0.00138961	3.3651e-05	0.0159366	4.0261e-05
1.3821e-05	7.4213e-05	4.2365e-05	0.00048644	0.00148005	4.4468e-05	0.0155213	4.2965e-05
1.4422e-05	4.4167e-05	2.9144e-05	0.000278825	0.00135176	2.584e-05	0.0147335	4.2064e-05
1.4722e-05	4.6872e-05	1.953e-05	3e-07	0.00198272	3.0346e-05	0.0150283	3.275e-05
2.674e-05	0.000101855	1.5324e-05	0.000127995	0.0016444	3.0346e-05	0.0148759	4.6871e-05
1.5022e-05	0.000103358	6.7303e-05	6.3096e-05	0.001511	3.0045e-05	0.0151782	3.2149e-05
2.7342e-05	6.3997e-05	2.7341e-05	0.000220837	0.00206234	3.7557e-05	0.0152458	4.2966e-05
1.5023e-05	6.0092e-05	2.5839e-05	0.000232554	0.00169969	4.0862e-05	0.015381	6.2796e-05
1.5624e-05	7.6616e-05	2.4337e-05	0.000239465	0.00151611	3.2449e-05	0.0169326	4.7472e-05
1.4723e-05	0.000101855	0.000929013	6.01e-07	0.00143168	4.0862e-05	0.0147089	4.3867e-05
3.7858e-05	8.9836e-05	3.6956e-05	0.000119282	0.00150349	3.0046e-05	0.0147645	3.1247e-05
2.8243e-05	0.000111169	2.6741e-05	0.000147224	0.00355862	4.6871e-05	0.0164056	3.275e-05
1.3821e-05	3.4853e-05	2.4337e-05	0.000271013	0.00139833	3.1848e-05	0.0169524	4.6571e-05
3.3951e-05	5.6787e-05	2.8844e-05	0.000187786	0.00162217	3.0646e-05	0.0150574	4.6872e-05
1.6225e-05	0.000212123	2.8543e-05	0.000320588	0.00153744	3.6656e-05	0.0155036	3.906e-05
1.4422e-05	8.0522e-05	1.7427e-05	0.000416133	0.0014467	2.8243e-05	0.0149574	4.4167e-05
4.0561e-05	5.3782e-05	1.5324e-05	0.000240366	0.00296882	3.1548e-05	0.0155697	4.9575e-05
1.5023e-05	5.6486e-05	3.5454e-05	0.000299856	0.00225463	5.1379e-05	0.0160823	0.000103657
6.2496e-05	0.000175767	4.7472e-05	0.000508974	0.00165792	2.9445e-05	0.014732	2.8243e-05
2.7942e-05	0.00012469	3.0347e-05	0.000247276	0.00189889	3.0346e-05	0.0148393	4.2966e-05
1.3821e-05	9.3742e-05	1.7727e-05	0.000390895	0.00198122	5.5885e-05	0.0147873	7.0006e-05
2.7642e-05	4.7172e-05	2.2234e-05	0.000230751	0.00165612	4.9876e-05	0.0164984	7.2411e-05
2.6139e-05	8.4129e-05	2.5539e-05	0.000414331	0.00195237	3.275e-05	0.0174037	3.8158e-05
1.3821e-05	4.6571e-05	1.5624e-05	0.000190189	0.00227386	2.8543e-05	0.0148243	4.2966e-05
1.4121e-05	0.000103057	1.4723e-05	0.000149627	0.00152602	5.0477e-05	0.0149216	6.8504e-05
1.3521e-05	5.7087e-05	3.0947e-05	0.000304363	0.00132622	2.8844e-05	0.0147813	4.2665e-05
2.8243e-05	0.000108765	0.00149958	6.01e-07	0.00333718	4.2965e-05	0.0154276	5.228e-05
1.292e-05	5.7087e-05	2.8543e-05	7.6016e-05	0.00176699	5.3181e-05	0.0156568	4.8073e-05
4.3866e-05	6.3096e-05	1.6526e-05	0.000319986	0.00264252	3.0346e-05	0.0150535	3.5755e-05
2.8544e-05	6.4598e-05	2.2234e-05	0.000533612	0.00125621	4.4168e-05	0.0160997	3.6956e-05
4.1163e-05	9.8249e-05	4.2364e-05	0.000185082	0.00146653	2.5538e-05	0.0148798	3.9661e-05
1.4722e-05	5.7688e-05	1.5023e-05	0.000460301	0.00230451	4.597e-05	0.0153032	3.4553e-05
1.5023e-05	5.8289e-05	2.8543e-05	0.000182979	0.00227116	3.3351e-05	0.0147705	3.3651e-05
1.3821e-05	0.000103658	2.8844e-05	0.000185082	0.00139082	3.2449e-05	0.0148732	3.8158e-05
1.4722e-05	5.5585e-05	2.0431e-05	0.000251783	0.00128145	3.7858e-05	0.016849	3.4252e-05
1.4422e-05	3.305e-05	2.4938e-05	0.000161947	0.00169157	4.0261e-05	0.0158209	3.7257e-05
2.614e-05	6.2795e-05	2.5539e-05	0.000336211	0.00192473	5.1679e-05	0.0162965	4.4467e-05
1.3821e-05	4.7172e-05	2.1333e-05	0.000167054	0.00175737	3.936e-05	0.0154267	3.5454e-05
2.8543e-05	8.0823e-05	3.8459e-05	0.000401411	0.0022976	3.5154e-05	0.0153296	4.627e-05
2.2834e-05	7.6617e-05	2.0732e-05	0.000228648	0.00287898	4.2665e-05	0.017096	4.8674e-05
1.4422e-05	0.000103357	2.8844e-05	7.5715e-05	0.00156779	4.0262e-05	0.0151629	9.7348e-05
1.4422e-05	5.7988e-05	1.5323e-05	0.000235559	0.00198963	3.1548e-05	0.015189	3.6356e-05
1.5023e-05	6.1294e-05	2.1332e-05	0.000146924	0.00188957	3.1548e-05	0.0164509	4.6872e-05
4.0862e-05	4.6571e-05	1.4722e-05	0.000320588	0.00166964	3.0646e-05	0.0153404	3.5154e-05
1.4722e-05	6.3096e-05	0.000887551	9.01e-07	0.00232734	3.275e-05	0.0159516	3.6055e-05
1.8628e-05	5.0778e-05	2.3736e-05	0.000376173	0.00246976	3.1548e-05	0.0159224	5.5885e-05
4.0261e-05	0.000272515	3.3952e-05	0.000654095	0.00203049	2.9745e-05	0.016191	4.8674e-05
1.4422e-05	3.3952e-05	1.6225e-05	0.000560653	0.00180154	3.0646e-05	0.0164245	4.1764e-05
1.4723e-05	0.000100052	3.0046e-05	0.000246374	0.00144881	4.3266e-05	0.0150971	3.1548e-05
2.7642e-05	9.2241e-05	2.8543e-05	0.000319086	0.00154165	6.5199e-05	0.0161995	3.3652e-05
3.305e-05	0.000134605	1.5023e-05	0.000629458	0.00171892	3.2749e-05	0.014821	3.6656e-05
3.9059e-05	0.000145121	1.8929e-05	0.000362051	0.00288439	3.7858e-05	0.0155192	5.1678e-05
1.6225e-05	8.563e-05	3.6355e-05	0.000286336	0.00217561	3.1248e-05	0.0165621	3.5153e-05
1.5924e-05	5.4083e-05	2.7642e-05	0.000382181	0.00185893	2.6741e-05	0.0154213	3.0045e-05
1.4421e-05	9.2241e-05	1.5925e-05	0.000176669	0.00145451	3.1248e-05	0.0153143	4.657e-05
2.7041e-05	8.8335e-05	1.6826e-05	0.000250581	0.00259655	4.1162e-05	0.0149072	4.5069e-05
1.4422e-05	6.0693e-05	3.1247e-05	0.000248779	0.00239554	3.0947e-05	0.0153927	6.2796e-05
6.2194e-05	0.000122286	0.000803423	6.01e-07	0.00168166	3.2149e-05	0.0153278	3.4853e-05
1.5924e-05	7.5415e-05	2.0131e-05	8.2926e-05	0.00322361	4.3867e-05	0.0159735	4.5069e-05
2.6741e-05	0.000107864	0.00117268	6.01e-07	0.00222398	4.3265e-05	0.0162986	9.3142e-05
4.4468e-05	7.3011e-05	2.9144e-05	7.4814e-05	0.00185052	3.9661e-05	0.0159218	6.7903e-05
1.6825e-05	6.9105e-05	2.4638e-05	0.000189288	0.00313137	4.7773e-05	0.0165447	3.6355e-05
1.6225e-05	7.8419e-05	2.5238e-05	0.00038759	0.0034841	3.0347e-05	0.0159305	4.7472e-05
1.5023e-05	5.7087e-05	2.1633e-05	0.000171561	0.00135957	4.4167e-05	0.0166682	3.2449e-05
1.3821e-05	7.4212e-05	2.7342e-05	0.000172463	0.00206985	3.9961e-05	0.0160288	4.3266e-05
2.3135e-05	6.3397e-05	3.305e-05	0.000451888	0.00230811	2.8543e-05	0.0151232	4.3867e-05
1.7126e-05	4.9575e-05	2.7342e-05	0.000137609	0.00238052	5.0177e-05	0.0191635	3.335e-05
1.262e-05	4.4467e-05	2.1032e-05	0.000169458	0.00146202	6.2496e-05	0.0172841	9.855e-05
1.0816e-05	3.2449e-05	1.3821e-05	0.000242169	0.0013118	2.9144e-05	0.0147485	4.4468e-05
2.5539e-05	0.000137008	3.6956e-05	0.000444677	0.00258423	5.889e-05	0.015795	3.3651e-05
1.4723e-05	4.5369e-05	2.0431e-05	0.000301358	0.00186374	3.6355e-05	0.0157031	4.3266e-05
1.292e-05	6.7603e-05	2.5539e-05	0.000253886	0.0026263	3.8759e-05	0.017255	3.7858e-05
1.4422e-05	5.7387e-05	1.5924e-05	0.00014452	0.00209389	3.0948e-05	0.0147921	4.7772e-05
1.5624e-05	9.1939e-05	3.4553e-05	0.00038158	0.0015083	2.9445e-05	0.0149141	3.245e-05
1.5023e-05	6.0092e-05	2.0431e-05	0.000282429	0.00139322	2.9746e-05	0.0157719	3.0646e-05
4.627e-05	7.0908e-05	2.8543e-05	0.000339217	0.00132442	7.4813e-05	0.0161406	9.4945e-05
3.8759e-05	0.000117478	2.1934e-05	0.000345225	0.00289821	5.4683e-05	0.0155222	7.3912e-05
1.5324e-05	7.0307e-05	2.7041e-05	0.000242469	0.00142056	5.3481e-05	0.0147942	9.4043e-05
1.5323e-05	4.6872e-05	2.9445e-05	0.000268008	0.00267197	4.4468e-05	0.015542	6.0993e-05
2.644e-05	7.4513e-05	1.5925e-05	0	0.00221767	3.1247e-05	0.0162761	4.4768e-05
1.4422e-05	8.8634e-05	0.00123157	9.02e-07	0.00155847	3.7858e-05	0.0160982	3.6956e-05
3.6956e-05	0.000121986	3.4552e-05	0.000181477	0.00271854	2.9445e-05	0.0163055	3.275e-05
1.8328e-05	0.00344714	2.1633e-05	0.000114474	0.00306046	3.0347e-05	0.0159999	4.4768e-05
4.567e-05	5.7087e-05	1.6225e-05	0.000354839	0.00132892	4.1764e-05	0.0149631	5.8589e-05
1.4422e-05	4.3867e-05	1.5323e-05	0.000391196	0.00110779	5.4383e-05	0.0149249	5.4382e-05
3.3651e-05	5.7388e-05	2.8543e-05	0.000229549	0.00145722	3.0346e-05	0.014854	3.5154e-05
1.3821e-05	5.9791e-05	4.0262e-05	3e-07	0.0021672	3.1248e-05	0.0175158	4.7772e-05
2.7642e-05	4.5068e-05	1.8629e-05	0.000219033	0.00140524	4.2665e-05	0.0157581	4.7473e-05
2.7342e-05	5.6486e-05	1.5023e-05	0.00027642	0.00122677	3.1247e-05	0.0146845	3.0947e-05
1.5324e-05	4.9275e-05	1.8628e-05	0.000330202	0.00233515	3.9359e-05	0.0162785	3.6055e-05
1.6825e-05	6.0392e-05	2.8243e-05	0.0003284	0.00375992	3.0346e-05	0.0159957	3.1548e-05
2.8243e-05	6.6702e-05	1.8928e-05	0.000163449	0.00187425	6.0092e-05	0.015512	8.7733e-05
4.5068e-05	5.5885e-05	2.9445e-05	0.000265905	0.00178742	2.644e-05	0.0156902	2.8544e-05
2.9144e-05	9.3443e-05	2.7642e-05	0.000201607	0.00182107	2.7342e-05	0.0167165	4.2665e-05
3.9961e-05	8.7733e-05	4.2966e-05	0.00030256	0.00193585	3.6055e-05	0.0151695	3.3952e-05
1.6225e-05	4.4167e-05	2.3135e-05	0.00017096	0.00141666	3.0947e-05	0.0157644	3.4853e-05
1.3821e-05	6.1594e-05	1.4722e-05	0.000117178	0.00179794	4.5369e-05	0.0152091	5.1378e-05
1.8929e-05	5.9791e-05	2.5238e-05	0.000223841	0.00220415	3.275e-05	0.0163656	5.2279e-05
2.4337e-05	0.000139112	3.5754e-05	0.000338315	0.00159693	2.9144e-05	0.014985	3.3351e-05
3.275e-05	0.000105761	1.4722e-05	0.000193795	0.00171711	2.8243e-05	0.0147293	3.0947e-05
4.3867e-05	7.0307e-05	1.4422e-05	0.000285434	0.00118801	2.9745e-05	0.0149622	4.3266e-05
2.0431e-05	6.2495e-05	2.0732e-05	0.000345826	0.00261548	3.5754e-05	0.0183276	6.7603e-05
4.0562e-05	0.000153233	4.2365e-05	0.000673024	0.00270321	3.0346e-05	0.014885	3.3651e-05
1.6225e-05	4.597e-05	2.6139e-05	0.000238263	0.00124269	3.8458e-05	0.0159257	5.2881e-05
1.3821e-05	5.9491e-05	1.6224e-05	7.2411e-05	0.00150769	2.5539e-05	0.0147203	3.0045e-05
1.322e-05	7.4213e-05	1.9529e-05	0.000173064	0.00200345	2.9745e-05	0.0168001	3.0947e-05
1.4422e-05	7.3913e-05	2.1933e-05	0.000126192	0.00192893	7.3011e-05	0.0162298	0.000102156
1.4121e-05	0.000103658	2.0732e-05	0.000163448	0.00141816	3.0046e-05	0.0173391	3.3651e-05
6.1594e-05	4.8974e-05	2.7041e-05	0.000250582	0.00154134	4.1463e-05	0.0150977	2.9445e-05
4.7172e-05	7.0607e-05	1.5624e-05	0.000201607	0.0013776	3.0346e-05	0.0152587	4.9275e-05
6.2495e-05	5.8889e-05	2.2535e-05	0.000321188	0.00183039	5.1077e-05	0.0159942	6.7303e-05
2.7342e-05	4.8974e-05	1.6525e-05	0.000343422	0.00167355	3.1848e-05	0.015716	5.1078e-05
1.322e-05	9.9452e-05	2.7942e-05	0.000193194	0.00234146	2.9144e-05	0.0151656	3.1548e-05
1.4121e-05	0.000105461	1.5023e-05	0.000226545	0.00186374	3.0046e-05	0.0153362	3.4252e-05
1.6225e-05	6.1593e-05	3.1248e-05	0.000294147	0.00149087	3.8759e-05	0.0147524	3.8458e-05
4.2665e-05	7.7819e-05	1.5023e-05	0.000146322	0.00159603	2.9145e-05	0.014884	3.4252e-05
1.5924e-05	5.3181e-05	2.1333e-05	0.00028243	0.00326807	3.275e-05	0.0170176	5.5885e-05
1.4121e-05	6.0091e-05	2.0131e-05	0.000384285	0.00219184	5.4983e-05	0.0163392	5.5886e-05
1.7427e-05	0.000106662	0.00104799	1.503e-06	0.00286636	5.0176e-05	0.0151929	6.9106e-05
2.3136e-05	9.5244e-05	2.1032e-05	0.000373168	0.00262059	3.6956e-05	0.0151566	5.919e-05
3.2149e-05	0.000138812	3.2749e-05	0.000334409	0.00238172	2.8844e-05	0.0161958	3.0346e-05
1.6525e-05	5.7688e-05	1.5624e-05	0.00032239	0.00166664	4.3566e-05	0.0158819	4.597e-05
2.6441e-05	8.6531e-05	3.0045e-05	0.000201908	0.00205933	3.6055e-05	0.0163458	6.58e-05
1.5023e-05	6.0993e-05	2.2234e-05	0.000121985	0.00188657	2.9144e-05	0.0159158	4.6571e-05
2.9445e-05	0.000146923	4.2364e-05	0.000707878	0.00196559	3.7257e-05	0.0171525	6.2795e-05
1.4723e-05	7.6616e-05	1.9529e-05	0.000228047	0.00166994	3.1247e-05	0.0171741	3.5154e-05
2.8844e-05	0.00031548	3.7557e-05	0.000602717	0.00294869	8.5029e-05	0.015932	0.000114475
1.8327e-05	5.6486e-05	3.1248e-05	0.000363253	0.00298144	3.936e-05	0.0150799	4.4768e-05
1.4722e-05	6.2495e-05	1.7126e-05	0.000179674	0.00158761	3.335e-05	0.0150845	5.198e-05
4.7772e-05	0.000121385	1.5324e-05	0.000245774	0.00220265	3.6055e-05	0.015089	4.5369e-05
1.5623e-05	4.3266e-05	2.5539e-05	0.00037437	0.0021666	2.9145e-05	0.0167706	3.0646e-05
1.7427e-05	5.4683e-05	4.4468e-05	0.000361149	0.0021032	3.3651e-05	0.0160342	3.966e-05
2.644e-05	7.0607e-05	3.0346e-05	0.000347629	0.00203079	3.0046e-05	0.0147446	4.7171e-05
1.7427e-05	0.000100653	3.0346e-05	0.000227446	0.00211101	3.0046e-05	0.0170023	3.2449e-05
1.352e-05	0.000102456	2.8844e-05	0.000217832	0.00137159	3.275e-05	0.0169701	4.1163e-05
4.9876e-05	7.9621e-05	3.0046e-05	0.000400209	0.00227536	4.7773e-05	0.0149159	4.8674e-05
2.7642e-05	8.7133e-05	4.7172e-05	0.00108525	0.00194696	3.1548e-05	0.0154525	3.7256e-05
1.3521e-05	5.949e-05	2.013e-05	6.7603e-05	0.00154165	3.305e-05	0.016597	3.5153e-05
1.6225e-05	0.000110568	2.3436e-05	0.000306466	0.00172522	2.9144e-05	0.0164918	3.275e-05
3.8158e-05	9.9751e-05	3.1248e-05	0.000454291	0.00199323	7.0307e-05	0.0171345	9.6146e-05
2.0731e-05	7.3312e-05	2.1633e-05	0.000537218	0.00317193	3.0046e-05	0.0163121	3.305e-05
1.5023e-05	5.7086e-05	2.1333e-05	0.000179673	0.002498	5.8289e-05	0.0168782	6.0392e-05
1.4422e-05	0.000331704	4.1764e-05	0.000506871	0.00152302	3.7557e-05	0.0153765	3.4553e-05
1.5924e-05	7.5715e-05	1.9229e-05	0.000263501	0.00187035	2.8243e-05	0.015814	3.0046e-05
1.6525e-05	5.3482e-05	2.2534e-05	0.000304063	0.00200645	3.6957e-05	0.0164038	4.4467e-05
1.5925e-05	5.1077e-05	1.983e-05	0.000371065	0.0018427	3.1247e-05	0.0163794	3.5755e-05
2.7642e-05	5.5584e-05	1.923e-05	0.000206414	0.00212273	7.842e-05	0.017023	0.000114774
1.4722e-05	4.7773e-05	1.5624e-05	0.000259595	0.00225914	2.9445e-05	0.0156911	3.3651e-05
1.4722e-05	6.3997e-05	2.5239e-05	0.000434761	0.00189288	4.2665e-05	0.0161925	2.614e-05
1.4121e-05	8.7133e-05	1.5624e-05	0.000191391	0.00148246	5.9791e-05	0.0155622	4.8975e-05
1.4422e-05	9.1339e-05	1.5624e-05	0.000307968	0.00129737	5.9791e-05	0.0150505	8.563e-05
1.4422e-05	5.7688e-05	1.4422e-05	0.000408922	0.00202538	3.936e-05	0.0151737	5.5885e-05
6.4298e-05	0.000351535	2.2233e-05	0.000475925	0.00296912	5.258e-05	0.0150917	6.1594e-05
2.4938e-05	0.000130398	3.0346e-05	0.00045339	0.00233606	4.9575e-05	0.0162529	6.55e-05
2.8844e-05	8.0222e-05	3.0947e-05	0.000343723	0.00178772	8.7734e-05	0.0149949	9.4644e-05
3.9961e-05	0.000186284	4.0261e-05	0.000567864	0.00307548	2.644e-05	0.0163596	2.8844e-05
4.5369e-05	5.8289e-05	2.1032e-05	0.000397805	0.00176579	3.1247e-05	0.0154252	5.1078e-05
1.3521e-05	4.1163e-05	1.6525e-05	0.0002632	0.00122166	4.567e-05	0.0149604	4.9875e-05
3.1247e-05	0.0001316	2.4938e-05	0.000380079	0.00150289	2.614e-05	0.0146981	3.2449e-05
1.7426e-05	4.3567e-05	2.1333e-05	0.000390594	0.00156178	5.3181e-05	0.0155165	5.9791e-05
1.4722e-05	9.164e-05	3.3351e-05	9.0738e-05	0.00179703	3.1248e-05	0.0159768	3.2149e-05
2.6741e-05	6.0993e-05	1.9529e-05	0.000214827	0.00169217	5.7988e-05	0.0188846	8.0523e-05
1.5624e-05	4.8674e-05	0.000751744	9.01e-07	0.00133463	4.2965e-05	0.0151475	5.2881e-05
1.7426e-05	0.000100653	2.0431e-05	0.000397806	0.00228888	2.7642e-05	0.0160751	4.2064e-05
1.5924e-05	9.1039e-05	1.6525e-05	0.000362652	0.00178201	3.8158e-05	0.0157998	4.9876e-05
1.6525e-05	7.3912e-05	2.0131e-05	0.000124389	0.00149628	3.9359e-05	0.0159296	3.9661e-05
1.5323e-05	4.6571e-05	1.6225e-05	0.000245473	0.00341019	3.5754e-05	0.0159777	5.3181e-05
